Tanggal,Kategori,Fitur / Topik,Detail Perubahan
2026.01.28,Peningkatan Fitur & Perbaikan Sistem (Deep Scan),Fix Upload Bukti Pembayaran,Memperbaiki masalah gambar bukti transfer yang hilang setelah penyimpanan pada `TukarTambahResource`.
2026.01.28,Peningkatan Fitur & Perbaikan Sistem (Deep Scan),Fix Upload Bukti Pembayaran,Memastikan persistensi data pada field `bukti_transfer` saat edit record.
2026.01.28,Peningkatan Fitur & Perbaikan Sistem (Deep Scan),Galeri Foto Terpusat,"Mengimplementasikan komponen `tukar-tambah-photos-gallery` untuk menampilkan seluruh bukti foto (Penjualan, Pembelian, Dokumen) dalam satu tampilan grid yang rapi."
2026.01.28,Peningkatan Fitur & Perbaikan Sistem (Deep Scan),Galeri Foto Terpusat,Memperbaiki layout tabel barang keluar dan masuk pada infolist.
2026.01.28,Peningkatan Fitur & Perbaikan Sistem (Deep Scan),Generator Kode Unik,Menambahkan kolom `kode_member` pada tabel member (via migrasi).
2026.01.28,Peningkatan Fitur & Perbaikan Sistem (Deep Scan),Generator Kode Unik,Implementasi logika *auto-generate* kode (Format: `XXXX-0001`) berdasarkan nama dan tanggal daftar.
2026.01.28,Peningkatan Fitur & Perbaikan Sistem (Deep Scan),Generator Kode Unik,Melakukan *backfill* otomatis kode member untuk data member lama.
2026.01.28,Peningkatan Fitur & Perbaikan Sistem (Deep Scan),UI Updates,Menampilkan `kode_member` sebagai badge yang dapat dicari (*searchable*) dan disalin (*copyable*) pada tabel Member.
2026.01.28,Peningkatan Fitur & Perbaikan Sistem (Deep Scan),Custom Header Export,Refactoring `InventoryExportHeaderAction` dan `SummaryExportHeaderAction` untuk kustomisasi header laporan excel/pdf.
2026.01.28,Peningkatan Fitur & Perbaikan Sistem (Deep Scan),Custom Header Export,Memperbarui template PDF ekspor (`pdf.blade.php`) untuk tampilan laporan yang lebih profesional.
2026.01.28,Peningkatan Fitur & Perbaikan Sistem (Deep Scan),Laporan Harian,Pembaruan pada `PembelianReportResource` dan `PenjualanReportResource` untuk sinkronisasi dengan format baru.
2026.01.28,Peningkatan UI Widget Kalender,Soft Button Colors,"Mengimplementasikan palet ""Soft Colors"" (warna pastel lembut) pada widget Kalender Jadwal, menggantikan warna solid yang terlalu kontras."
2026.01.28,Peningkatan UI Widget Kalender,Soft Button Colors,"Warna disesuaikan dengan status tugas/event: Biru (Proses/Meeting), Hijau (Selesai/Event), Kuning (Pending/Catatan), Merah (Batal/Libur)."
2026.01.28,Peningkatan UI Widget Kalender,Soft Button Colors,Mendukung Dark Mode secara native dengan penyesuaian opasitas latar belakang dan border yang elegan.
2026.01.28,Peningkatan UI Widget Kalender,Konsistensi Gaya (Rounder),Menerapkan sudut tumpul (`border-radius: 6px`) yang konsisten pada seluruh event di kalender agar selaras dengan bahasa desain aplikasi lainnya.
2026.01.28,Peningkatan UI Widget Kalender,Konsistensi Gaya (Rounder),Menambahkan bayangan halus (`box-shadow`) untuk memberikan kedalaman pada blok event.
2026.01.28,Peningkatan UI Widget Kalender,Refactoring & Optimasi Styling,Memindahkan seluruh CSS kustom kalender ke `AdminPanelProvider.php` sebagai gaya global dengan spesifisitas tinggi (`body .ec ...`). Hal ini menjamin gaya terkunci dan tidak perlu dideklarasikan ulang di setiap view.
2026.01.28,Peningkatan UI Widget Kalender,Refactoring & Optimasi Styling,Membersihkan kode CSS lokal dari file Blade untuk pemeliharaan yang lebih bersih.
2026.01.28,Peningkatan UI Widget Kalender,Refactoring & Optimasi Styling,Meningkatkan ketahanan widget dengan menambahkan properti `className` sebagai fallback selain `classNames`.
2026.01.28,Peningkatan UI Widget Kalender,Modernisasi Filter Kalender,"Inline Header Filters: Memindahkan filter Bulan dan Tahun langsung ke dalam header widget, berdampingan dengan tombol aksi (Buat Tugas/Event)."
2026.01.28,Peningkatan UI Widget Kalender,Clean & Soft UI,"Menggunakan dropdown manual dengan gaya ""Ghost"" (`bg-gray-50`) yang bersih."
2026.01.28,Peningkatan UI Widget Kalender,Clean & Soft UI,Menambahkan efek hover Soft Primary (`hover:bg-primary-50` & `text-primary-600`) yang memberikan umpan balik visual yang nyaman.
2026.01.28,Peningkatan UI Widget Kalender,Clean & Soft UI,"Penyederhanaan UX: Menghapus filter ""Tipe Event"" yang jarang digunakan untuk tampilan yang lebih minimalis dan fokus."
2026.01.28,Peningkatan UI Widget Kalender,Clean & Soft UI,Technical Debt: Menghapus wrapper form legacy pada halaman `KalenderJadwal` dan menggantinya dengan integrasi Livewire `wire:model.live` langsung pada widget.
2026.01.27,Penyesuaian Tampilan Tombol,Styling Kustom Tombol,"Menyamakan gaya tombol aksi dengan skema warna Badge Filament (Info, Success, Warning, Danger, Gray)."
2026.01.27,Penyesuaian Tampilan Tombol,Styling Kustom Tombol,Mengimplementasikan CSS kustom pada `AdminPanelProvider` untuk konsistensi visual antara tombol dan badge.
2026.01.29,Peningkatan UI Widget Kalender,,"Header Informatif: Menambahkan ikon dan deskripsi ""Kelola jadwal tugas dan agenda kegiatan disini"" pada header widget kalender."
2026.01.29,Peningkatan UI Widget Kalender,,"Visual Upgrade: Mengubah ukuran ikon menjadi lebih besar (`h-12`) dengan warna Primary, serta memperbesar tipografi judul (`text-2xl`) untuk tampilan yang lebih modern dan menonjol."
2026.01.29,Peningkatan UI Widget Kalender,,Highlight Hari Ini: Memperjelas warna latar belakang untuk tanggal hari ini (*Today*) menggunakan `rgba` yang lebih kontras agar penanda waktu saat ini tidak terlewatkan.
2026.01.26,Fitur Godmode & Manajemen Data Tingkat Lanjut,Godmode Force Delete (Pembelian),Mengimplementasikan alur penghapusan paksa 3-langkah untuk transaksi pembelian yang terkunci.
2026.01.26,Fitur Godmode & Manajemen Data Tingkat Lanjut,Godmode Force Delete (Pembelian),"Sistem otomatis menangani *cascade deletion* untuk item, pembayaran, dan jasa terkait tanpa error integritas database."
